desenvolvedor,total_jogos,avaliacoes_positivas,avaliacoes_negativas,tempo_medio_jogado
"Ducat, Zimogor",1,43,14,0.0
Duck,1,63,63,3.73
Duck INC,1,11,10,0.02
Duck Team,1,26,3,0.0
DuckbearLab,1,149,2,0.0
Duckbridge,2,141,24,0.01
Duckman Army Games,1,4,0,0.0
Duckvalley Productions,1,81,21,7.78
Ductape studio,1,546,381,2.07
Duel Studios,1,2,2,0.0
Duelboot,1,254,85,0.6
Duion,1,254,223,0.65
Dululu工作室,1,15,7,0.0
Dumativa,1,203,20,0.0
"Dumativa, Castro Brothers",1,3962,140,4.73
Dumb ****ing Horse,1,63,8,0.0
Dumbfounded,1,37,13,2.88
"Duncan Perham, Steve Tierney",1,4,2,0.0
Dunderware,1,89,11,2.4
Dune Clockidy,1,387,108,6.07
Dungeon Games,1,43,5,0.0
Dungeonation,1,12,2,0.0
Dungeoneering Studios,1,53,30,0.0
Duoyi,1,463,221,7.67
Duoyi Games,1,92655,6517,52.62
Dupeyron,3,9,4,0.0
"Durven Studios, BrazMonkey Studio",1,1407,53,0.4
Dusan Petrovic,1,2,5,0.0
Dusk Wave Arts LLC,1,1,6,0.0
DuskDogStudio,1,86,15,0.0
Dust Devil Studios Inc.,1,34,23,0.13
Dust Scratch Games,2,53,33,0.0
Dust Storm Entertainment,1,42,38,0.0
Dust Studio,1,20,13,0.0
Dustin Chalker,1,8,1,0.0
Dustin Gunn,1,46,9,0.68
Duxomnia,1,5,1,0.0
"Dvora Studio Co., Ltd.",2,5388,573,6.75
Dwarven potion brew,2,135,126,1.16
Dwarves Might Fly,1,37,8,3.6
DygoDev,1,20,30,0.0
DyingCat,1,109,22,3.47
Dylan Fitterer,3,17648,2024,8.47
Dylan White,1,945,75,4.6
Dymchick1,5,1262,311,0.692
DynKen,1,228,43,0.0
Dynamic Media Triad,2,1916,156,2.385
Dynamic Pixels,7,31380,5172,2.698571428571429
Dynamic Zero,1,112,54,0.0
Dynamite Whale,1,39,4,0.0
Dynamix,1,102,11,0.27
Dynasty Interactive Ltd,1,1,1,0.0
Dyrnwyn Games,1,5,32,0.0
DysTop,1,2,3,0.0
Dyslexia Untied,1,10,4,0.0
Dystopia Game Studio,1,67,62,0.0
Dystopia Interactive,1,11,7,0.0
DziczeDzieci,1,2,4,0.0
Dziff,1,146,9,0.0
Dzsembori,1,62,7,0.0
"E Marx, Caden Goodwin",1,9,6,0.0
E McNeill,4,271,58,0.7925
E-FunSoft,1,10,3,0.0
E-FunSoft  Games,1,9,4,0.0
E-Line Media,1,1212,159,2.33
E-Snail Studio,1,4,1,0.0
E-Studio,1,516,69,2.15
E.N.Nach,1,15,2,0.0
EA - Maxis,1,6439,791,14.95
"EA - Maxis, Aspyr (Mac)",1,7456,1652,17.5
EA Black Box,1,5969,1957,14.25
EA Canada,1,42906,13377,184.82
EA Canada &amp; EA Romania,1,97293,23578,198.3
EA Los Angeles,6,34450,8966,10.191666666666666
EA Redwood Shores,1,25388,2272,6.22
EBStar,1,4,0,0.0
ECC GAMES,1,1739,657,7.72
ECC GAMES S.A.,1,61,54,2.0
ECC GAMES SP. Z O.O.,1,23,20,9.05
ECG Studios,1,7,14,0.0
ECHTNICE GmbH,1,13,7,0.0
ED,1,5,8,0.0
EDanDan Studio,1,1,0,0.0
EF Universe Games LLC,3,36,21,0.0
EGAMER,21,8312,2744,5.0652380952380955
EIRTeam,1,326,39,1.53
EJRGames,5,326,286,3.6719999999999997
ELECTROSTALIN ENTERTAINMENT,2,47,49,0.0
ELF,1,17,5,0.0
ELIOT,1,4,0,0.0
ELIXOR,1,20,0,0.0
EMIKA_GAMES,2,2034,465,2.0300000000000002
EManGame,1,2,2,0.0
ENDESGA,1,81,52,1.03
ENIGMA STUDIO,1,269,26,0.42
ENTERi,3,1013,274,3.15
EON46,1,13,5,0.0
EP Games®,1,23,2,0.0
EPICBEYOND Studios,1,192,171,3.93
EQ Studios,1,4753,464,6.18
ERMedia,3,7,10,0.0
ES4 / Eternal Sphere 4,1,118,12,0.4
"ESAT, Atomic Piñata",1,5,3,0.0
"ESAT, Crazy Unicorn",1,4,5,0.0
"ESAT, Modular Souls",1,69,22,0.0
"ESAT, Voodoo Bunny",1,21,13,0.0
ESP Games,2,9,2,0.0
"ESQUADRA,inc.",2,21,19,0.0
"ESQUADRA,inc., RideonJapan",1,415,136,12.88
ESTgames Corp.,1,746,349,1.77
ETGgames,1,52,30,0.05
EURO GAMES STUDIO,1,0,1,0.0
EV,1,5,5,0.0
EVC Games,1,542,69,0.43
EVERYDAYiPLAY,1,40,46,0.4
EVEV01,1,22,3,0.0
EVIL GAMES,1,24,12,0.0
EVR Studio,2,139,42,0.09
EVT Games,1,14,7,0.0
EVXIO,1,6,4,0.0
EX Games,1,3,2,0.0
EXAMGAMES,1,136,23,1.22
EXAMU,1,898,94,2.42
EXAMU Inc.,1,371,85,1.95
EXOR Studios,3,23667,2261,10.823333333333332
EYEFRONT,1,412,182,4.4
Eagle Dynamics SA,1,31661,5528,15.78
Early Melon,1,600,78,1.65
Early Morning Studio,1,749,199,30.87
EarthWork Games,1,20535,1786,16.27
Earthborn Interactive,1,3,0,0.0
"Earthborn Interactive, LLC",1,9,7,0.0
Earthbound Games Ltd.,1,263,127,0.0
Earthshine,1,8280,833,25.8
Earthworm Games,1,19,42,0.93
"East Bay Immersive Games, LLC",1,9,0,0.0
East Side Games,1,1174,309,110.78
EastFog Studios,2,496,151,0.865
EastWorks,1,48,20,0.0
Eastasiasoft Limited,1,43,25,4.78
Eastshade Studios,2,5524,761,3.59
Easy Co,1,201,58,2.17
Easy Day Studios Pty Ltd,1,16733,2736,59.62
Easy Trigger Games,1,3544,199,2.23
Easy game,16,4564,1307,0.7581249999999999
EasyGameStation,2,7500,463,9.36
EasyGames,2,174,82,0.79
EasyWays Team,1,543,249,3.18
Easyroad,1,0,1,0.0
Eat Create Sleep,2,1225,588,0.685
Eathrabaria,1,4,8,0.0
Ebenit,1,29,11,3.32
Echo Chamber Games,1,286,216,2.45
Echo Entertainment,1,1575,395,6.65
Echo Hall Studios,1,166,75,3.75
Echo607,2,62,3,0.0
Echoboom S.L.,1,21,15,0.0
Echodog Games,2,217,32,0.34
Echtra Inc.,1,5225,6005,20.2
Eclipse Game Labs,1,41,3,0.0
Eclipse Games,4,519,247,1.69
EcoShooter,1,7,11,0.0
Ed Del Castillo,1,3326,475,29.98
"Ed Farage, Bubu",1,200,82,0.75
Ed Findlay,1,42,4,0.0
Ed Gar IX Games,1,35,23,0.0
Ed Key and David Kanaga,1,2078,663,0.63
Ed Mulvey,1,3,1,0.0
Ed Smith,1,1,0,0.0
Eddie O'Hagan (Katianie),1,5,6,0.0
Eddy & Gary & Friends,1,18,62,1.92
Eddy Games,1,37,33,3.97
Ede Tarsoly,1,32,7,0.0
Edelweiss,4,7536,848,8.2675
Eden Agency,1,12,5,0.0
"Eden Games, Hydravision Entertainment",1,550,834,1.38
Eden Industries,4,2107,483,2.5325
Edenic Era LLC,1,787,153,0.0
Ederson Santos Da Silva,1,5,3,0.0
Edge of Reality,1,34218,5094,9.95
Edgehill CGI,1,13,5,0.0
Edible Entertainment,1,176,41,0.0
Ediogames,1,405,106,2.23
"Edmund McMillen, Florian Himsl",1,57299,3080,24.88
"Edmund McMillen, James Id",1,743,252,0.42
"Edmund McMillen, James Interactive, Ridiculon",1,4695,1106,15.55
"Edmund McMillen, Tyler Glaiel",2,4187,406,3.9000000000000004
Eduard Mirica,1,162,108,4.18
Eduardo Barreto,1,41,6,0.0
"Edwin Montgomery, Myshkin Entertainment",3,1059,91,0.18999999999999997
Edym Pixels,3,1714,269,2.026666666666667
"Eek! Games, LLC",1,12922,2066,9.45
Eerie Bear Games,1,50,5,0.0
Eerie Games,1,14,24,3.83
"Eerie Guest, tinyBuild",2,5856,918,1.7650000000000001
Effimera Studio,1,47,23,3.17
Eforb,4,3481,3289,1.9124999999999999
EfrenStudios,1,49,16,3.02
Egalitaria Studios,1,0,1,0.0
Egamea Game Studios,1,36,27,1.47
Ege Sayın,1,19,7,0.0
Egea Game,1,1,2,0.0
EggNut,1,3989,133,24.87
Eggcode,3,10934,932,23.73
Egghead Interactive LLC.,2,189,33,0.0
Eggion,1,29,3,0.0
Eggnut,1,2072,1021,3.27
Eggon Srl,1,72,46,1.7
Eggtooth Team,1,331,379,11.15
Eggy,1,5,1,0.0
"Egidijus Bachur, Alexey Davydov",2,1672,539,1.21
Egor Magurin,2,69,49,1.335
"Egor Magurin, Eugene Radaev",1,1268,835,3.43
"Egor Magurin, Shilov",1,59,32,0.0
"Egor Magurin, Shilov, Elizar Skakun",1,28,13,0.0
Egor Olegovich Yakovlev,1,384,110,2.82
Egor Rezenov,2,1512,64,2.79
Egosoft,8,25938,9928,26.03
Egutidze,2,92,48,0.0
Eidos Interactive,1,712,202,2.45
Eidos Montreal,2,26062,2410,7.7250000000000005
"Eidos Montreal, Feral Interactive (Linux/Mac)",1,31037,9813,18.62
Eidos Studio Hungary,1,1825,733,8.22
Eidos-Montréal,1,36857,2301,12.68
"Eidos-Montréal, Crystal Dynamics, Nixxes, Feral Interactive (Mac), Feral interactive (Linux)",1,66684,12759,19.87
"Eidos-Montréal, Feral Interactive (Mac)",1,17337,5926,8.13
Eight Points,1,5407,2490,10.02
EightyEight Games,1,135,25,2.42
EightyEightGames,2,2938,414,8.36
Einfach Genial gGmbH,1,6,9,0.0
EinzelartigGames,1,26,4,0.0
Eipix Entertainment,13,373,72,0.18692307692307694
"Eipix Entertainment, Blue Tea Games",1,29,5,0.0
Eirik Wiklund,1,46,11,0.0
Eivind Magnus Noersterud Hvidevold,2,4,2,0.0
Ejoy Games,1,157,69,2.43
Eko,1,42,47,0.0
Eko Software,11,26663,9849,8.234545454545454
Eksperimental Games,1,394,41,0.0
Ekuator Games,1,307,133,4.18
"Ekuator Games, Agate",1,22,10,0.0
ElMaHeGames,1,7,7,0.0
ElZzap Software,1,65,42,4.87
ElagoTech,1,79,12,8.47
Elastic Games,1,383,170,2.33
Elastic Sea,1,101,13,0.0
"Elasto Mania Team, Balazs Rozsa",2,30,4,0.875
"Elcaelum, CGA Studio",1,81,21,0.0
Elden Pixels,2,1171,236,5.6
"Elder Game, LLC",1,2110,346,27.62
Elder Games,5,1023,881,5.194
Elder Leaf Studio,1,85,20,3.67
Eldritch Heart Studio,1,6,1,0.0
Eldritch Phantasmagoric Games,1,6,5,0.0
Eldstorm Games,1,8,4,0.0
Elecorn,1,3156,811,3.43
"Electric Eggplant, Kalani Games, Inc., HRG (Heirs of Rube Goldberg), Unity Games",1,22,6,0.0
Electric Games,1,115,32,24.52
Electric Hat Games LLC.,1,671,100,4.88
Electric Prune Juice,1,24,1,0.0
Electric Puppets Inc.,1,8,4,0.0
Electric Rune,1,8,29,0.35
Electric Succubi,1,1406,258,13.93
Electrical Eagle,1,2,3,0.0
Electrical Eagle Studio LTD,1,2,4,0.0
Electrify,1,1,5,0.0
Electro Gamma,1,2,0,0.0
Electrocosmos,1,192,28,0.0
ElectronDust,1,8,7,0.0
Electronauts,1,2,1,0.0
Electronic Arts,2,10228,5003,18.990000000000002
Electronic Paradise,1,42,70,0.0
Electrovore,1,4917,1176,6.67
Elega Corporation,1,0,2,0.0
Elektri Inc.,1,4,1,0.0
"Element Games, LLC",1,20,7,0.0
Element Studio,1,621,171,6.67
Element Studios,2,2761,336,4.635
Elementman Technology,1,5,3,0.0
Eleon Game Studios,1,26195,7052,78.55
Elephant,1,18,3,0.0
Elephant Arts,1,3,7,0.0
Elephant Games,26,669,254,0.44153846153846155
Elephant Games AR,1,5,2,0.0
Elev8 Games,1,48,39,2.88
"ElevenSeventy, LLC",2,24,7,0.01
Eleventh Hour Games,1,88027,22596,85.83
Elf Games,1,190,37,3.0
"Elhaitham Ashmawy, Mohamed Eshmawy, Nour Ashmawy",1,16,5,0.0
Elian Games,3,38,28,0.0
Elias Wick,1,1,0,0.0
Elijah Newman-Gomez,1,1510,698,2.32
Elite Games,1,9,1,0.0
Elite Games Team,1,549,135,7.08
Elixir Games,1,305,149,1.78
Elixir Studios,1,3272,234,15.97
Eliška Vrzalová,1,53,14,0.0
Elknight,1,44,6,0.0
Ellada Games,1,1633,657,5.48
Ellie's Lunchbox,1,259,55,0.0
Ellinia games,1,62,18,0.0
Elliott Jones,1,277,135,3.55
Elliott Strait,1,67,1,0.0
Ellipse Studios,1,278,46,2.15
Elliptic Games,1,1238,89,9.32
Elllinia games,1,21,8,0.0
EloThere,1,33,19,0.0
Elon3D,1,3,0,0.0
Elphie,1,2,2,0.0
Elton Silva,1,8,0,0.0
Eluhims Studio,1,60,68,0.0
Elushis,2,77,41,2.765
Elusive Panda,1,6,2,0.0
ElvGames,1,19,0,0.0
Elven Workshop,1,274,116,4.47
Elvio Lujan,1,1,0,0.0
Elzai Games,1,2,0,0.0
EmInSpace,1,7,2,0.0
Emad,2,1808,127,7.09
Emanation,1,0,1,0.0
Emanuel N.M,1,13,4,0.0
Emberfish Games,1,1574,182,25.83
Emberheart Games,1,288,5,0.75
Embernight Games,1,3,2,0.0
Emberstone Interactive,1,34,1,0.0
Emblematic Group,4,125,115,0.0
Embryo,1,32,10,3.32
Emedion Games,1,3,0,0.0
Emerald Interactive Games,1,2,2,0.0
Emergence Studio,1,221,32,0.0
Emergency Entrance Studios,1,79,41,0.0
Emerick Gibson,1,19,4,0.0
"Emerson Design, Inc.",1,276,187,0.15
Emilios Manolidis,2,382,149,17.25
Emily Peregrine,1,3,3,0.0
EmilyMGames,1,312,85,0.72
Emir Cerimovic,1,166,57,0.0
"Emir Suleiman, Tayfun Tuna",1,171,31,0.0
"Emma Franklin, Charlie Marshall",1,47,27,0.0
Emmanuel Perrillon,1,9,4,0.0
Emotion Studio,1,189,170,9.85
EmpI Studios,1,32,13,0.05
Emperium Team,1,5,1,0.0
Empire Interactive,1,13,3,0.0
Empires,1,902,140,54.13
Empty Clip Studios,3,1693,505,1.3333333333333333
Empty Die Studio,1,42,13,0.0
Empty Essence,1,23,17,0.0
Empty Teapot,1,11,6,0.0
Empyrean,2,89740,5601,12.11
Empyrean Art,1,1,0,0.0
Emre Tanirgan,1,543,51,2.6
"Emsad Brushbeard, T.C. Mabe",1,2,2,0.0
EnDrew,1,320,32,2.0
Enaayah Software Development and Services Private Limited,4,63,19,0.0
Ence Gaming LLC,1,0,1,0.0
"EnchantedLands, Oddeyefish",1,16,11,0.0
Encircle Games,1,70,13,1.48
EncoderX,1,9,9,0.0
Encore,1,5,16,6.48
Encryptique,1,139,116,4.2
"End Game Interactive, Inc",1,331,84,0.0
End of the Line Studios,1,13,5,0.0
Endava,1,445,362,0.63
EnderWings,1,5,1,0.0
Ender里特莫,1,7,0,0.0
Endflame,1,197,51,0.0
Endi Milojkoski,1,84,12,178.25
Endice Software,1,1,1,0.0
Endless Games,1,13,19,0.0
Endless Loop Studios,9,5852,1298,3.7066666666666666
Endless Ritual Assembly,1,46,2,0.0
Endless Shirafu,1,31,5,0.0
Endless Suffering,1,568,101,0.0
Endless Void Studios,2,114,38,0.0
Endlessfluff Games,3,3686,695,6.09
Endnight Games Ltd,1,599805,27986,27.37
Endorphin Studios,1,971,818,2.95
Endrit Special Poductions,1,0,1,0.0
Enemby Games,1,9,9,0.0
Energy Milk,2,79,37,6.25
Enga Games,1,5,0,0.0
Engage Pixel,1,20,10,0.0
"Engient, Inc",1,31,28,1.18
Engin Baştürk,1,9,1,0.0
Engin Mercan,1,79,37,0.0
Enigami,1,286,208,2.35
Enigma Dragons LLC,1,49,3,0.0
Enigma Games,1,2,1,0.0
Enigma Pendulum,1,2,4,0.0
Enigma SP,1,111,117,0.52
Enigmatic Machines,1,110,73,2.43
Enigmatic Network,1,44,2,0.0
Enitvare,4,800,216,2.235
Enki,1,1366,262,0.0
Enki Games,1,3,4,0.0
Enlight Software Limited,8,1866,377,12.3625
"Enlight Software Limited, PerspectX",1,131,159,0.47
"Enlightened Realm, Pixelfoot Games",1,26,2,0.0
Ennoble Studios,1,39,62,3.1
Enodo Games,1,170,61,0.0
Enokippu,2,539,130,1.395
Enoops,6,329,114,0.0
Enplex Games LLC,1,458,723,0.7
Ensemble Studios,2,33098,3283,14.39
"Ensemble Studios, Behaviour Interactive, 343 Industries",1,7788,761,13.83
EnsenaSoft,29,1935,1657,3.6306896551724135
Enter Skies,1,823,277,2.83
Entertainment Forge,4,5049,901,4.8425
Entheogen Studios LLC,1,174,65,3.62
"Enthrean Guardian, Eggion, stellarNull",1,11,4,0.0
Entity Medialab,1,323,75,0.12
Entrada Interactive LLC,1,20860,10748,24.28
Entries games,1,5,5,0.0
"Entwell Co., Ltd.",1,2432,1001,59.63
EntwicklerX,4,83,47,0.575
Envalid games,1,9,2,0.0
Envision Entertainment,1,105,86,0.78
"Eode, Beemoov",1,25,14,0.0
Eoin Flanagan,1,79,19,0.0
Ephemeral Entertainment,1,75,6,0.0
EpiXR Games UG,5,139,31,0.0
Epic Banana Games LLC,1,7,1,0.0
Epic Devs LLC,2,219,123,2.535
Epic Fire,1,71,25,0.05
"Epic Games, Inc.",5,14263,1247,4.272
Epic LLama,1,39,2,5.87
Epic Llama Games,1,590,43,4.02
"Epic MegaGames, Vision Software",1,50,40,0.18
Epic Shrimp,1,75,17,1.63
Epic Works,3,31,27,0.0
EpicVirtual,1,9,0,0.0
"Epicenter Studios, Scientifically Proven",1,118,10,4.68
Epiphany Games,1,61,51,0.0
Epitasis Games,1,115,42,0.0
Epixx.org,1,517,201,11.73
Epoching,1,1,2,0.0
Epopeia Games,2,35,12,0.0
Epotech,1,17,4,0.0
Epsilon Games,1,84,24,0.0
"Epyx, Inc.",6,68,20,0.0
Equanox Productions,1,1,0,0.0
Equilibrium Arts,1,6,1,0.0
"Erasmo Cândido Mutemba, Dilto João Banze, Osvaldo Dos Santos Cândido Mutemba",1,5,2,0.0
ErayTek,1,90,28,5.65
Erebus,1,948,334,2.77
Eren Aydin,1,166,140,6.83
"Eren Aydin, Serhat Yucekaya",1,289,84,1.77
Eren Çoban,1,2,0,0.0
Erepon Games,1,3,3,0.0
Ergosphere Game Studio,1,0,3,0.0
Eric Alexander,1,2,1,0.0
Eric Baskin,1,61,5,0.0
"Eric Chahi, DotEmu",1,1609,330,0.9
"Eric Hartman, Ben Garney, Anthony Rotondo",1,4059,1492,9.78
Eric Juvi,1,133,15,0.35
Eric L.,1,4,1,0.0
Eric Laflamme,1,19,1,0.0
Eric Lipschutz,1,87,16,0.28
Eric Peterson,1,1,4,0.0
Eric Provan - Ayyo Games,1,263,106,0.27
"Eric Ruts, Jacob Kooiman",1,644,304,16.38
Eric Thullen,1,1377,68,2.52
Eridani Games,1,24,10,0.0
Eridanus Industries,1,2915,621,15.4
Erik Asmussen,2,7494,691,5.34
Erik Brunnström,1,14,7,0.0
Erik Rempen,1,582,154,6.22
"Erik Sillén, Fredrik Carlsson, Philip Bretschneider",1,9,8,0.0
Erik Svedäng,1,121,36,1.1
"Erik Svedäng, El Huervo / Niklas Åkerblad, Tobias Sjögren, Oscar ""Ratvader"" Rydelius, Johannes Gotlén",1,540,264,1.27
Erlend Kirkeboe,1,167,12,0.0
Eroducate,1,83,11,0.0
"Eroducate, MohaElder169",1,609,89,0.0
ErosVR,1,17,19,0.0
Eross Video Games,1,1,5,0.0
Erotes Studio,2,436,111,2.16
Erow.Dev,1,72,27,0.0
Error 404 Game Studios S.A.,1,69,12,0.0
Ertal Games,1,16,1,0.0
Ervenstar Games,1,14,14,0.0
Erwin Wolf,2,21,14,0.0
"Escalation Studios, Four Quarters",1,1074,227,1.72
"Escality, LLC",1,30,2,0.0
Escape Games,1,5,0,0.0
"Escape Hatch Entertainment, LLC",1,13,49,1.18
"Escape Hatch Entertainment,LLC",1,16,14,0.68
Escapp Studio,1,0,0,0.0
"Escu:de, Element",1,53,12,9.88
Esenthel,1,34,13,0.0
EskemaGames,1,1,2,0.0
EspirArt Games,1,15,1,0.0
Esra ÖZTÜRK,1,0,1,0.0
Essence Games,1,28,2,0.0
Essence Ltd.,1,146,64,3.78
Essence Worldcrafter,1,6,2,0.0
Estelion,1,632,340,2.53
Estenio Garcia,1,1,0,0.0
Estudio Raed Wulf,1,48,21,0.0
Esturia Games,1,38,2,0.0
Eternal Dream,2,3596,137,0.0
Eternal Echoes VR,2,36,8,0.0
Eternal Lighthouse,1,120,38,0.0
Eternal Night Studios,2,3518,402,4.46
Eternal Stardust Studios,1,55,37,0.57
EternalShadow Studios,1,143,34,1.78
Eternity Games,1,89,26,0.0
Eternity Studios,2,179,165,3.485
Eteru Studio,2,263,41,0.35
Ethan Goldreyer,1,8,0,0.0
Ethan Ines,1,1,1,0.0
Ethan Waite,1,109,24,5.4
EtherGaming,1,433,54,8.93
Ethereal Darkness Interactive,2,64,24,0.0
"Ethereal Gem, LLC",1,1,0,0.0
Ethrea Dreams,1,263,120,3.62
Etranges Libellules Studios,1,214,91,2.1
Euclides Lopes,1,15,4,0.0
Eugen Systems,8,38390,8110,31.696250000000003
"Eugene Chung, Jimmy Maidens, Terry Kaleas",1,164,20,0.42
Eugene Zubko,1,2945,302,0.0
EugeneLee,1,14,2,0.0
Eugeny Butakov,1,102,13,4.65
Euphoria Games,2,308,48,0.0
Euphoric Brothers,2,676,275,0.775
Eurocom,4,1050,113,2.42
"Eurocom, THQ Nordic",1,590,38,11.55
European Flameworms,1,4953,2256,1.65
Eutechnyx,3,4592,912,7.34
EvaGames,1,9,2,0.0
"Evan ""Solidplasma"" Peiperl, Tyler R. Gonelli, Pamela Pizarro-Ruiz, Spencer Everhart, Dan Vicarel",1,36,1,0.0
Evan Downing,1,12,5,0.0
Evan Lowery,1,1,0,0.0
"Evan Peiperl, Brianna Livesay",1,17,1,0.0
Evan Samuel,1,35,1,0.0
Evan Tognotti,1,183,42,0.0
EveRecord,1,427,15,0.0
Event Horizon,1,1994,381,15.08
Everglow Interactive Inc.,1,2563,837,3.28
Evergreen,1,21,35,0.0
Everguild Ltd.,1,1815,1102,188.37
Everland MMO,1,260,15,0.0
Everlasting Games,1,12,0,0.0
Evermore Game Studios,1,100,68,4.12
"Everplay Interactive, Blow and Try Again, Rocketcat Games",1,157,95,7.8
Eversim,9,2961,2291,37.01222222222222
Everwake Games,1,17,1,0.0
Every Single Soldier,3,1271,188,5.123333333333333
"Every Single Soldier, Wastelands Interactive",1,56,55,4.37
Everyday Agents,1,17,9,0.0
Everything Unlimited Ltd.,1,19369,2633,1.77
Evgenii Gubanov,1,52,30,1.5
"Evgeny Apel, Pavel Rodionov, Ivan Ilchenko",1,26,2,0.0
Evgeny Petrov,3,37,25,0.0
Evgiz,1,56,19,0.0
EviTRea,1,6,0,0.0
Evil Aliens,1,22,12,0.0
Evil Bite,1,743,470,2.87
Evil Bunneh,3,36,30,0.0
Evil Chicken,1,20,7,0.0
Evil Dentists,1,280,52,0.0
Evil Games,2,38,44,0.01
Evil Indie Games,2,288,58,0.3
Evil Mojo Games,1,294373,52031,66.98
Evil Objective,1,24,1,0.0
Evil Raptor,1,7138,690,3.02
Evil Tortilla Games,2,24600,6232,2.125
Evil Twin Artworks,4,1299,671,5.092499999999999
EvilCharm Games,1,2187,585,52.85
EvilCoGames,1,59,23,0.85
EvilStar Studios,1,25,4,0.0
Evilwind Studio,1,271,107,3.28
Evlanic Entertainment,1,286,26,0.0
Evocat Games,2,142,25,0.685
Evols,1,17,4,0.0
Evoluta Studio,2,293,267,2.465
Evolutionary Games,1,40,44,2.35
"Ex Nihilo, ARTE France",1,1321,340,3.72
ExDream GmbH,1,125,265,1.35
Exa_Inc,1,1,1,0.0
Exalted Guy Interactive,1,35,7,4.0
Examined Interactive,1,27,6,0.0
Exato Game Studios,1,61,27,0.88
Exato Games Studio,1,573,597,3.13
Exbleative,2,4852,497,1.2000000000000002
Excalibur,5,926,1105,3.6580000000000004
ExclexGame,1,20,12,0.13
Exe Create Inc.,16,272,84,0.214375
Exe Games Inc.,1,1605,2219,2.18
Execution Unit,1,25,3,0.0
Exilland,1,18,1,0.0
Exit Plan Games,1,4599,172,4.95
Exkee,2,234,141,0.6
ExoElement Games,1,23,6,0.0
Exoception,1,1,1,0.0
"Exokit Inc, Pluto VR",1,16,4,0.0
Exor Studios,1,3280,653,1.78
Exordium Games,4,1381,243,1.4025
Exorzine Games,1,3,1,0.0
Expansive Worlds,1,157641,19969,28.35
"Expansive Worlds, Avalanche Studios",2,27309,19711,21.99
"Expedia Labs, Expedia, Space Needle + Chihuly Garden and Glass, WSP – Parsons Brinckerhoff of Seattle, Jaclyn Lake, Rachel Ye, Morgan Graham",1,15,15,0.0
ExperaGameStudio,2,80,31,0.06
Experience Inc.,1,415,205,4.63
"Experience Inc., Codeglue",1,129,71,0.0
Experiment 101,1,12840,6587,22.85
Experimental Gamer Studios,1,23,2,0.0
Experius VR,1,211,17,0.0
Exploding Cable Productions,1,2,1,0.0
Explosive Squat Games,2,4899,572,4.525
"Explosm, Skeleton Crew Studios",1,627,570,3.17
Exponential Games Inc.,1,131,73,0.0
Expression Games,1,113447,24230,62.2
Expressive Gamestudio,1,62,5,0.0
Exquisite Games,2,238,93,1.2000000000000002
"Exquisite Games, Biotae",1,5,2,0.0
Exscape,1,10,13,0.0
Extend Mode,2,40,18,1.36
Extend Studio,3,873,340,1.7166666666666666
Extinct Angel,1,31,30,0.33
Extra Dimension,1,56,19,0.0
Extra Nice,1,35,12,0.0
Extreme Developers,2,185,102,2.8249999999999997
Extrokold Games,2,380,138,1.825
Eyaura,1,791,164,8.98
EyeSpyda Games,1,175,45,16.12
Eyebrow Interactive,2,977,181,3.375
Eyedentity Games Inc.,1,1651,634,25.27
"Eyeguys, Lorenzo Redaelli",1,406,112,3.28
Eyemobi Ltd.,1,153,197,0.0
Ezalbot,1,13,1,0.0
Ezhaac Studio,1,105,61,1.5
Ezzat Studios,1,277,77,0.1
Eşref Çağatay Güven,1,4,1,0.0
F Studio,1,8,4,0.0
F chord 繁弦,1,0,1,0.0
F-Games,1,0,7,0.0
F-Greetings,1,100,76,0.0
F.SDRI,1,5,2,0.0
"F191, 中闻影视",1,93,20,0.0
F4DE,1,5,10,0.0
F8tality games,1,6,1,0.0
FAKT Software Gmbh,1,11,27,8.62
FAL Works,1,38,0,0.0
FALCO Software,1,21,2,0.0
"FALCO software, KazakovStudios",1,36,6,0.0
FALCON GAMES,1,0,1,0.0
"FAT BOMB STUDIOS, LLC",1,1087,126,3.45
"FAYEZ ALRASHEEDI, WADE AIZOUKY, KHALED ALRASHEEDI",1,1,0,0.0
FC Maker,2,1242,105,0.0
FCgames15,1,13,0,0.0
FEDOS CHANNEL,1,5,4,0.0
FEYXUAN,1,0,1,0.0
FHNBHJ,2,303,14,6.6499999999999995
FIFTYTWO,1,50,6,0.0
FIREBEAST,1,544,40,2.23
FIVE-BN GAMES,22,13349,1784,1.8590909090909091
FJRD Interactive,1,1480,680,3.23
"FK Digital, Arc System Works",1,268,37,2.85
FLAT12,1,71,17,0.65
FLEB,1,390,43,4.93
FLO-server,1,33,18,0.0
FLOAT LAND,1,4,3,0.0
FM Studio,4,609,61,0.0
FMG Labs,1,62,26,0.47
FNGames,1,320,74,0.15
FNTASTIC,1,13055,7234,7.33
FOAM Entertainment,1,1691,378,4.7
"FOCKA GAMES, ILCOIN Development team",1,17,15,0.0
"FOO VR, Inc.",1,137,22,0.33
FRENCH-BREAD,3,8717,614,18.87666666666667
"FRENCH-BREAD, TYPE-MOON, Lasengle Inc., TAMSOFT CORPORATION, GameLoop Inc.",1,8484,1118,16.08
FROG,1,23,11,3.18
FRVR,1,21147,5599,2.92
FTH GAMES,1,1,0,0.0
FUN Creators,1,77,139,2.88
FUN Labs,1,149,255,0.95
FUN labs Romania S.R.L.,1,19,52,0.0
